SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75085-1",4162443,2,"Black","System",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/2/4162443.jpg",152
"75085-1",4498713,1,"Black","System",58247,"Blaster Medium","http://cache.lego.com/media/bricks/5/2/4498713.jpg",151
"75085-1",6039194,1,"Black","System",11215,"Stone 1X2X1 1/3 W. 2 Plates 2X2","http://cache.lego.com/media/bricks/5/2/6039194.jpg",65
"75085-1",6051038,1,"Black","System",15456,"Plate 2X2 W. Ball","http://cache.lego.com/media/bricks/5/2/6051038.jpg",64
"75085-1",370526,1,"Black","Technic",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/2/370526.jpg",995
"75085-1",4107084,2,"Black","Technic",32015,"Angle Element, 112,5 Degr. [5]","http://cache.lego.com/media/bricks/5/2/4107084.jpg",146
"75085-1",6089119,4,"Black","Technic",18651,"Cross Axle 2M W. Snap W. Fric.","http://cache.lego.com/media/bricks/5/2/6089119.jpg",154
"75085-1",4143005,1,"Bright Blue","Technic",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/2/4143005.jpg",643
"75085-1",4206482,4,"Bright Blue","Technic",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/2/4206482.jpg",1261
"75085-1",6071231,8,"Dark Orange","System",2450,"Corner Plate 45 Deg. 3X3","http://cache.lego.com/media/bricks/5/2/6071231.jpg",2
"75085-1",6076680,2,"Dark Orange","System",43719,"Plate 4X4 W/Angle","http://cache.lego.com/media/bricks/5/2/6076680.jpg",2
"75085-1",6100646,2,"Dark Orange","System",47753,"Brick 4X4 W. Bow/Angle","http://cache.lego.com/media/bricks/5/2/6100646.jpg",2
"75085-1",4210633,4,"Dark Stone Grey","System",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/2/4210633.jpg",348
"75085-1",4210694,2,"Dark Stone Grey","System",30552,"Fric/Stump With Cross Hole","http://cache.lego.com/media/bricks/5/2/4210694.jpg",64
"75085-1",4210695,2,"Dark Stone Grey","System",30553,"Fric/Fork W. Cross Hole","http://cache.lego.com/media/bricks/5/2/4210695.jpg",114
"75085-1",4211064,1,"Dark Stone Grey","System",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/2/4211064.jpg",154
"75085-1",4211133,2,"Dark Stone Grey","System",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/2/4211133.jpg",309
"75085-1",4227398,2,"Dark Stone Grey","System",3709,"Plate 2X4, 3Xø4.9","http://cache.lego.com/media/bricks/5/2/4227398.jpg",96
"75085-1",4527082,2,"Dark Stone Grey","System",51739,"Plate 2X4X18°","http://cache.lego.com/media/bricks/5/2/4527082.jpg",77
"75085-1",6015890,2,"Dark Stone Grey","System",11090,"Holder Ø3.2 W/Tube Ø3.2 Hole","http://cache.lego.com/media/bricks/5/2/6015890.jpg",80
"75085-1",6019987,4,"Dark Stone Grey","System",11458,"Plade 1X2 M. Van. Hul Ø 4,8","http://cache.lego.com/media/bricks/5/2/6019987.jpg",216
"75085-1",6048898,4,"Dark Stone Grey","System",15400,"Spring Shooter 1X4","http://cache.lego.com/media/bricks/5/2/6048898.jpg",132
"75085-1",6117972,8,"Dark Stone Grey","System",21712,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/2/6117972.jpg",183
"75085-1",6178919,6,"Dark Stone Grey","System",31493,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/2/6178919.jpg",73
"75085-1",4210857,2,"Dark Stone Grey","Technic",42003,"Cross Blok 3M","http://cache.lego.com/media/bricks/5/2/4210857.jpg",96
"75085-1",6020189,1,"Dark Stone Grey","Technic",99021,"Bush W/Connecting Piece","http://cache.lego.com/media/bricks/5/2/6020189.jpg",65
"75085-1",6021888,1,"Light Nougat","System (Figure Part)",12817,"Mini Head No. '1149'","http://cache.lego.com/media/bricks/5/2/6021888.jpg",74
"75085-1",4211383,2,"Medium Stone Grey","System",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/2/4211383.jpg",183
"75085-1",4211419,4,"Medium Stone Grey","System",3176,"Coupling Plate 2X2","http://cache.lego.com/media/bricks/5/2/4211419.jpg",107
"75085-1",4211475,5,"Medium Stone Grey","System",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/2/4211475.jpg",242
"75085-1",4211542,1,"Medium Stone Grey","System",32001,"Plate 2X6 W. Holes","http://cache.lego.com/media/bricks/5/2/4211542.jpg",91
"75085-1",4211667,2,"Medium Stone Grey","System",30386,"Brick 1X2 Fric/Stub/Fork Vert.","http://cache.lego.com/media/bricks/5/2/4211667.jpg",23
"75085-1",6015344,2,"Medium Stone Grey","System",11211,"Brick 1X2 W. 2 Knobs","http://cache.lego.com/media/bricks/5/2/6015344.jpg",220
"75085-1",6093527,2,"Medium Stone Grey","System",17715,"Shaft 3M Ø3.2","http://cache.lego.com/media/bricks/5/2/6093527.jpg",48
"75085-1",4211573,6,"Medium Stone Grey","Technic",32123,"1/2 Bush","http://cache.lego.com/media/bricks/5/2/4211573.jpg",570
"75085-1",4211741,3,"Medium Stone Grey","Technic",41677,"Technic Lever 2M","http://cache.lego.com/media/bricks/5/2/4211741.jpg",97
"75085-1",4211807,2,"Medium Stone Grey","Technic",3673,"Connector Peg","http://cache.lego.com/media/bricks/5/2/4211807.jpg",713
"75085-1",4211815,3,"Medium Stone Grey","Technic",4519,"Cross Axle 3M","http://cache.lego.com/media/bricks/5/2/4211815.jpg",875
"75085-1",4211889,2,"Medium Stone Grey","Technic",41678,"Technic Cross Block/Fork 2X2","http://cache.lego.com/media/bricks/5/2/4211889.jpg",72
"75085-1",4211150,2,"Reddish Brown","System",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/2/4211150.jpg",336
"75085-1",4211186,4,"Reddish Brown","System",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/2/4211186.jpg",330
"75085-1",4211189,1,"Reddish Brown","System",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/2/4211189.jpg",199
"75085-1",4211194,4,"Reddish Brown","System",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/2/4211194.jpg",138
"75085-1",4211252,2,"Reddish Brown","System",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/2/4211252.jpg",110
"75085-1",4224243,3,"Reddish Brown","System",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/2/4224243.jpg",75
"75085-1",4225700,4,"Reddish Brown","System",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/2/4225700.jpg",46
"75085-1",4517594,2,"Reddish Brown","System",30259,"Triangular  Sign W. Snap","http://cache.lego.com/media/bricks/5/2/4517594.jpg",19
"75085-1",6058134,4,"Reddish Brown","System",47457,"Plates W. Bows 2X2","http://cache.lego.com/media/bricks/5/2/6058134.jpg",5
"75085-1",6069984,2,"Reddish Brown","System",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/2/6069984.jpg",52
"75085-1",6170570,2,"Reddish Brown","System",28917,"Brick 1X1 W. Handle","http://cache.lego.com/media/bricks/5/2/6170570.jpg",9
"75085-1",6055631,2,"Sand Yellow","Technic",15462,"Cross Axle 5M With End Stop","http://cache.lego.com/media/bricks/5/2/6055631.jpg",120
"75085-1",4626752,4,"Titanium Metallic","System (Figure Part)",41890,"Battle Droid Arm","http://cache.lego.com/media/bricks/5/2/4626752.jpg",12
"75085-1",4626925,2,"Titanium Metallic","System (Figure Part)",42687,"Battle Droid Leg","http://cache.lego.com/media/bricks/5/2/4626925.jpg",12
"75085-1",6170094,2,"Titanium Metallic","System (Figure Part)",28813,"Battle Droid Body","http://cache.lego.com/media/bricks/5/2/6170094.jpg",4
"75085-1",6104541,2,"Transparent","System (Printed Part)",20316,"Dish Ø80X9.6 Tr. 'Deco No 1'","http://cache.lego.com/media/bricks/5/2/6104541.jpg",1
"75085-1",4244363,2,"Transparent Red","System",50746,"Roof Tile 1 X 1 X 2/3","http://cache.lego.com/media/bricks/5/2/4244363.jpg",218
"75085-1",4497943,5,"Transparent Red","System",58176,"Couple W. 3.2 Stick","http://cache.lego.com/media/bricks/5/2/4497943.jpg",95
"75085-1",6054526,5,"Transparent Red","System",15303,"Arrow 8M For Spring Shooter","http://cache.lego.com/media/bricks/5/2/6054526.jpg",63
"75085-1",6062937,1,"White","System (Figure Part)",16690,"Mini Lower Part 'No. 631'","http://cache.lego.com/media/bricks/5/2/6062937.jpg",5
"75085-1",6103819,1,"White","System (Figure Part)",20198,"Clone Helmet W. Ø1.5 Hole 'Deco No 1000'","http://cache.lego.com/media/bricks/5/2/6103819.jpg",1
"75085-1",6103836,1,"White","System (Figure Part)",76382,"Mini Upper Part No 2934","http://cache.lego.com/media/bricks/5/2/6103836.jpg",1




